temperature,rainfall,soil_moisture,crop_type,water_stress
22.5,18.0,55,Wheat,28.4
28.0,4.0,32,Corn,62.1
31.2,2.0,28,Rice,71.5
24.0,25.0,48,Soybeans,22.0
26.5,8.0,41,Cotton,45.3
23.0,30.0,58,Tomatoes,18.2
29.5,6.0,35,Wheat,58.0
27.0,12.0,44,Corn,38.7
32.0,1.0,25,Rice,78.0
21.0,35.0,62,Soybeans,12.5
25.5,10.0,46,Cotton,35.0
30.0,3.0,30,Tomatoes,65.4
24.5,22.0,52,Wheat,24.8
28.5,5.0,38,Corn,55.2
33.0,0.0,22,Rice,82.0
22.0,28.0,56,Soybeans,20.0
26.0,14.0,43,Cotton,40.1
23.5,32.0,59,Tomatoes,15.0
27.5,9.0,39,Wheat,42.0
29.0,7.0,36,Corn,52.0
31.5,2.5,29,Rice,74.0
20.5,40.0,65,Soybeans,8.0
25.0,16.0,47,Cotton,33.5
34.0,0.5,20,Tomatoes,85.0
24.0,20.0,50,Wheat,30.0
30.5,4.5,33,Corn,60.0
28.0,11.0,42,Rice,48.0
23.0,26.0,54,Soybeans,21.0
27.0,13.0,45,Cotton,37.0
26.0,17.0,49,Tomatoes,28.0
32.5,1.5,26,Wheat,76.0
21.5,33.0,57,Corn,19.5
29.5,6.5,37,Rice,56.0
25.0,19.0,51,Soybeans,26.0
28.0,8.0,40,Cotton,44.0
22.0,29.0,55,Tomatoes,17.0
30.0,5.0,34,Wheat,59.0
26.5,15.0,46,Corn,36.0
31.0,2.0,27,Rice,73.0
24.5,24.0,53,Soybeans,23.0
27.5,10.0,41,Cotton,39.0
33.5,0.0,21,Tomatoes,83.0
23.5,31.0,58,Wheat,16.0
29.0,7.5,38,Corn,53.0
25.5,18.0,48,Rice,31.0
20.0,38.0,63,Soybeans,10.0
34.5,0.0,19,Cotton,88.0
28.5,9.0,43,Tomatoes,41.0
22.5,27.0,56,Wheat,22.0
30.5,3.5,32,Corn,63.0
27.0,12.5,44,Rice,45.0
26.0,21.0,50,Soybeans,29.0
31.5,2.0,28,Cotton,72.0
24.0,23.0,52,Tomatoes,25.0
29.5,6.0,36,Wheat,57.0
23.0,34.0,60,Corn,14.0
32.0,1.0,24,Rice,79.0
28.0,14.0,42,Soybeans,34.0
25.0,16.5,47,Cotton,35.5
35.0,0.0,18,Tomatoes,90.0
21.0,36.0,61,Wheat,11.0
27.5,11.0,45,Corn,38.0
30.0,4.0,35,Rice,61.0
22.5,30.0,57,Soybeans,18.0
26.5,13.0,46,Cotton,40.5
24.0,26.0,54,Tomatoes,20.0
33.0,0.5,23,Wheat,80.0
28.0,8.5,39,Corn,46.0
29.0,7.0,37,Rice,54.0
19.5,42.0,66,Soybeans,6.0
31.0,3.0,30,Cotton,68.0
25.5,20.0,49,Tomatoes,27.0
26.0,15.5,48,Wheat,32.0
32.5,1.0,26,Corn,75.0
23.5,29.0,55,Rice,19.0
27.0,10.5,43,Soybeans,36.0
30.5,5.5,34,Cotton,58.5
24.5,22.0,51,Tomatoes,24.0
28.5,6.0,38,Wheat,50.0
22.0,32.0,58,Corn,15.0
34.0,0.0,20,Rice,84.0
25.0,17.0,46,Soybeans,30.0
29.5,8.0,40,Cotton,47.0
26.0,19.0,47,Tomatoes,29.5
31.5,2.5,29,Wheat,70.0
20.0,39.0,64,Corn,9.0
27.5,12.0,44,Rice,43.0
24.0,25.0,53,Soybeans,22.5
33.5,0.0,22,Cotton,86.0
28.0,9.5,41,Tomatoes,38.0
23.0,28.0,56,Wheat,21.0
30.0,4.5,33,Corn,62.0
26.5,14.5,45,Rice,37.0
21.5,35.0,59,Soybeans,13.0
32.0,1.5,27,Cotton,77.0
25.5,18.5,48,Tomatoes,26.5
29.0,7.0,36,Wheat,55.0
22.5,31.0,57,Corn,16.5
28.5,10.0,42,Rice,42.5
34.5,0.0,19,Soybeans,87.0
27.0,11.5,44,Cotton,39.5
24.5,24.0,52,Tomatoes,23.5
31.0,3.0,31,Wheat,66.0
26.0,16.0,47,Corn,34.0
30.5,5.0,35,Rice,60.0
23.5,27.0,54,Soybeans,20.5
29.5,6.5,37,Cotton,51.0
25.0,21.0,50,Tomatoes,28.5
32.5,2.0,28,Wheat,73.0
20.5,37.0,62,Corn,10.5
28.0,8.0,40,Rice,48.5
26.5,13.5,46,Soybeans,35.5
33.0,1.0,24,Cotton,78.5
24.0,26.0,53,Tomatoes,21.5
35.5,0.0,17,Wheat,92.0
27.5,9.5,42,Corn,44.5
30.0,4.0,34,Rice,59.5
22.0,33.0,58,Soybeans,14.5
31.5,2.0,29,Cotton,71.0
25.5,19.0,49,Tomatoes,27.0
29.0,7.5,38,Wheat,52.5
23.0,30.0,55,Corn,18.0
28.5,10.5,43,Rice,41.5
19.0,44.0,67,Soybeans,5.0
32.0,2.0,27,Cotton,74.0
26.0,15.0,47,Tomatoes,31.0
